Year,month,sun_hr
1976,7,244.50000000000006
1976,8,254.3
1976,9,118.10000000000001
1976,10,46.30000000000001
1976,11,61.199999999999996
1976,12,59.60000000000001
1977,1,41.4
1977,2,66.6
1977,3,90.8
1977,4,159.89999999999998
1977,5,220.29999999999995
1977,6,130.8
1977,7,198.00000000000003
1977,8,132.79999999999998
1977,9,118.80000000000001
1977,10,105.9
1977,11,87.9
1977,12,42.4
1978,1,44.00000000000001
1978,2,53.30000000000001
1978,3,121.7
1978,4,110.1
1978,5,204.9
1978,6,160.59999999999997
1978,7,145.99999999999997
1978,8,166.20000000000005
1978,9,155.60000000000005
1978,10,101.80000000000001
1978,11,87.2
1978,12,35.699999999999996
1979,1,52.599999999999994
1979,2,54.4
1979,3,90.0
1979,4,113.8
1979,5,201.90000000000003
1979,6,142.8
1979,7,182.60000000000008
1979,8,161.90000000000003
1979,9,171.69999999999993
1979,10,116.89999999999998
1979,11,63.3
1979,12,52.0
1980,1,70.7
1980,2,54.099999999999994
1980,3,83.2
1980,4,149.49999999999997
1980,5,213.5
1980,6,178.29999999999998
1980,7,159.79999999999998
1980,8,153.90000000000003
1980,9,143.40000000000003
1980,10,129.50000000000003
1980,11,67.9
1980,12,57.7
1981,1,60.8
1981,2,74.4
1981,3,53.2
1981,4,126.4
1981,5,116.89999999999999
1981,6,148.1
1981,7,136.8
1981,8,206.09999999999997
1981,9,149.5
1981,10,109.19999999999997
1981,11,56.300000000000004
1981,12,48.6
1982,1,66.39999999999999
1982,2,44.300000000000004
1982,3,164.79999999999995
1982,4,171.7
1982,5,221.4
1982,6,164.29999999999998
1982,7,170.5
1982,8,176.3
1982,9,159.70000000000002
1982,10,73.49999999999999
1982,11,66.50000000000001
1982,12,54.0
1983,1,49.00000000000001
1983,2,74.50000000000001
1983,3,97.69999999999999
1983,4,142.19999999999996
1983,5,120.10000000000001
1983,6,184.70000000000002
1983,7,262.1
1983,8,224.9
1983,9,111.1
1983,10,114.6
